iter	Passed	Remaining
808	5950	1404
809	5958	1397
810	5964	1389
811	5972	1382
812	5979	1375
813	5987	1368
814	5993	1360
815	6001	1353
816	6009	1346
817	6016	1338
818	6023	1331
819	6030	1323
820	6038	1316
821	6045	1309
822	6053	1301
823	6059	1294
824	6068	1287
825	6074	1279
826	6083	1272
827	6089	1265
828	6098	1257
829	6104	1250
830	6112	1243
831	6119	1235
832	6125	1228
833	6133	1220
834	6140	1213
835	6148	1206
836	6155	1198
837	6164	1191
838	6171	1184
839	6179	1177
840	6186	1169
841	6197	1162
842	6205	1155
843	6213	1148
844	6221	1141
845	6229	1133
846	6235	1126
847	6244	1119
848	6251	1111
849	6260	1104
850	6267	1097
851	6277	1090
852	6283	1082
853	6291	1075
854	6297	1068
855	6306	1060
856	6312	1053
857	6320	1045
858	6326	1038
859	6333	1030
860	6342	1023
861	6349	1016
862	6357	1009
863	6363	1001
864	6371	994
865	6378	986
866	6386	979
867	6392	972
868	6400	964
869	6407	957
870	6415	950
871	6422	942
872	6429	935
873	6436	927
874	6443	920
875	6451	913
876	6458	905
877	6468	898
878	6474	891
879	6483	884
880	6489	876
881	6497	869
882	6503	861
883	6511	854
884	6517	846
885	6524	839
886	6531	832
887	6537	824
888	6545	817
889	6552	809
890	6560	802
891	6565	794
892	6573	787
893	6580	780
894	6586	772
895	6595	765
896	6603	758
897	6609	750
898	6616	743
899	6623	735
900	6629	728
901	6636	721
902	6642	713
903	6649	706
904	6657	698
905	6663	691
906	6670	683
907	6676	676
908	6683	669
909	6694	662
910	6701	654
911	6708	647
912	6715	639
913	6721	632
914	6727	624
915	6735	617
916	6741	610
917	6747	602
918	6756	595
919	6764	588
920	6770	580
921	6776	573
922	6783	565
923	6788	558
924	6796	551
925	6802	543
926	6808	536
927	6814	528
928	6820	521
929	6826	513
930	6832	506
931	6838	498
932	6845	491
933	6851	484
934	6857	476
935	6863	469
936	6869	461
937	6875	454
938	6881	447
939	6887	439
940	6893	432
941	6898	424
942	6905	417
943	6910	409
944	6916	402
945	6922	395
946	6928	387
947	6934	380
948	6940	372
949	6945	365
950	6951	358
951	6958	350
952	6964	343
953	6971	336
954	6977	328
955	6983	321
956	6989	314
957	6995	306
958	7002	299
959	7008	292
960	7013	284
961	7020	277
962	7026	269
963	7033	262
964	7040	255
965	7047	248
966	7053	240
967	7059	233
968	7066	226
969	7072	218
970	7078	211
971	7083	204
972	7089	196
973	7095	189
974	7100	182
975	7106	174
976	7112	167
977	7119	160
978	7125	152
979	7131	145
980	7137	138
981	7142	130
982	7148	123
983	7154	116
984	7160	109
985	7165	101
986	7171	94
987	7176	87
988	7182	79
989	7188	72
990	7194	65
991	7200	58
992	7207	50
993	7214	43
994	7221	36
995	7228	29
996	7234	21
997	7239	14
998	7246	7
999	7252	0
